baggingAcc,randFrstAcc
0.8951791242812914,0.897390535161433
0.7807486631016043,0.7566844919786097
0.9368421052631579,0.9578947368421052
0.6851851851851852,0.6851851851851852
0.8320825515947468,0.8292682926829268
0.7904761904761904,0.7904761904761904
0.8222222222222222,0.9252525252525252
0.8058823529411765,0.8
0.6330275229357798,0.6972477064220184
0.5033003300330033,0.5082508250825083
0.9549783549783549,0.9662337662337662
0.8977272727272727,0.9204545454545454
0.92,0.9733333333333334
0.6444444444444445,0.65
0.9313411597296336,0.95980078263963
0.970843183609141,0.9732072498029944
0.9685902118334551,0.9726077428780131
0.8979591836734694,0.9183673469387755
0.6923076923076923,0.6483516483516484
0.7111111111111111,0.7111111111111111
0.942972972972973,0.9410810810810811
0.9047619047619048,0.9142857142857143
0.9335071707953064,0.9352455454150369
0.8791550170860516,0.8922025473749612
0.7051886792452831,0.714622641509434
0.7438271604938271,0.7417695473251029
0.9033333333333333,0.94
0.9354228586868414,0.9375844366387462
0.8387096774193549,0.8193548387096774
0.994869915720044,0.9904727006229388
0.8052778888444622,0.8136745301879248
0.583843329253366,0.605875152998776
0.6040268456375839,0.5718120805369128

bagging Avr Acc,rand Forest Avr Acc
=AVERAGE(A2:A34),=AVERAGE(B2:B34)
